date,NHS workforce COVID-19 absences - All staff
2020-04-01,9719
2020-04-02,10391
2020-04-03,10501
2020-04-04,9762
2020-04-05,9651
2020-04-06,7447
2020-04-07,7909
2020-04-08,8763
2020-04-09,8363
2020-04-10,7658
2020-04-11,7406
2020-04-12,7312
2020-04-13,6330
2020-04-14,7093
2020-04-15,7335
2020-04-16,7652
2020-04-17,7931
2020-04-18,7342
2020-04-19,7510
2020-04-20,6971
2020-04-21,7210
2020-04-22,7347
2020-04-23,7567
2020-04-24,7676
2020-04-25,7062
2020-04-26,7204
2020-04-27,6774
2020-04-28,7013
2020-04-29,7203
2020-04-30,7468
2020-05-01,7208
2020-05-02,6580
2020-05-03,6608
2020-05-04,5460
2020-05-05,6028
2020-05-06,6311
2020-05-07,6527
2020-05-08,6441
2020-05-09,6224
2020-05-10,6227
2020-05-11,5962
2020-05-12,5935
2020-05-13,6287
2020-05-14,6478
2020-05-15,6620
2020-05-16,6233
2020-05-17,6357
2020-05-18,6052
2020-05-19,6248
2020-05-20,6318
2020-05-21,6399
2020-05-22,6411
2020-05-23,6056
2020-05-24,6087
2020-05-25,5717
2020-05-26,5873
2020-05-27,5927
2020-05-28,6047
2020-05-29,6113
2020-05-30,5742
2020-05-31,5739
2020-06-01,4563
2020-06-02,4784
2020-06-03,4948
2020-06-04,5207
2020-06-05,5317
2020-06-06,5064
2020-06-07,5072
2020-06-08,4719
2020-06-09,4903
2020-06-10,4996
2020-06-11,5122
2020-06-12,5193
2020-06-13,4865
2020-06-14,4939
2020-06-15,4461
2020-06-16,4582
2020-06-17,4657
2020-06-18,4727
2020-06-19,4809
2020-06-20,4610
2020-06-21,4598
2020-06-22,4309
2020-06-23,4429
2020-06-24,4545
2020-06-25,4606
2020-06-26,4714
2020-06-27,4538
2020-06-28,4504
2020-06-29,4061
2020-06-30,4193
2020-07-01,4106
2020-07-02,4235
2020-07-03,4303
2020-07-04,4109
2020-07-05,4137
2020-07-06,3604
2020-07-07,3733
2020-07-08,3828
2020-07-09,3999
2020-07-10,4082
2020-07-11,4050
2020-07-12,3782
2020-07-13,3778
2020-07-14,3934
2020-07-15,4015
2020-07-16,4071
2020-07-17,4140
2020-07-18,4030
2020-07-19,4047
2020-07-20,3837
2020-07-21,3912
