Date,Sex,AgeGroup,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage
20201208,Female,18 - 29,420588,Dose 1,175,0.0416084148858265,175,0.0416084148858265
20201208,Female,18 - 29,420588,Dose 2,0,0.0,0,0.0
20201208,Female,30 - 39,366726,Dose 1,292,0.0796234791097441,292,0.0796234791097441
20201208,Female,30 - 39,366726,Dose 2,0,0.0,0,0.0
20201208,Female,40 - 49,349288,Dose 1,383,0.10965163418153501,383,0.10965163418153501
20201208,Female,40 - 49,349288,Dose 2,0,0.0,0,0.0
20201208,Female,50 - 54,207150,Dose 1,237,0.11440984793627802,237,0.11440984793627802
20201208,Female,50 - 54,207150,Dose 2,0,0.0,0,0.0
20201208,Female,55 - 59,202348,Dose 1,244,0.12058433985015898,244,0.12058433985015898
20201208,Female,55 - 59,202348,Dose 2,0,0.0,0,0.0
20201208,Female,60 - 64,177841,Dose 1,116,0.0652268037179278,116,0.0652268037179278
20201208,Female,60 - 64,177841,Dose 2,0,0.0,0,0.0
20201208,Female,65 - 69,154984,Dose 1,24,0.015485469467816001,24,0.015485469467816001
20201208,Female,65 - 69,154984,Dose 2,0,0.0,0,0.0
20201208,Female,70 - 74,146517,Dose 1,4,0.00273005862800904,4,0.00273005862800904
20201208,Female,70 - 74,146517,Dose 2,0,0.0,0,0.0
20201208,Female,75 - 79,108065,Dose 1,0,0.0,0,0.0
20201208,Female,75 - 79,108065,Dose 2,0,0.0,0,0.0
20201208,Female,80 years and over,165153,Dose 1,1,0.000605499143218712,1,0.000605499143218712
20201208,Female,80 years and over,165153,Dose 2,0,0.0,0,0.0
20201208,Male,18 - 29,427624,Dose 1,35,0.00818476044375433,35,0.00818476044375433
20201208,Male,18 - 29,427624,Dose 2,0,0.0,0,0.0
20201208,Male,30 - 39,355259,Dose 1,83,0.0233632363993593,83,0.0233632363993593
20201208,Male,30 - 39,355259,Dose 2,0,0.0,0,0.0
20201208,Male,40 - 49,331602,Dose 1,115,0.0346801285878855,115,0.0346801285878855
20201208,Male,40 - 49,331602,Dose 2,0,0.0,0,0.0
20201208,Male,50 - 54,193940,Dose 1,63,0.0324842734866454,63,0.0324842734866454
20201208,Male,50 - 54,193940,Dose 2,0,0.0,0,0.0
20201208,Male,55 - 59,190775,Dose 1,48,0.0251605294194732,48,0.0251605294194732
20201208,Male,55 - 59,190775,Dose 2,0,0.0,0,0.0
20201208,Male,60 - 64,166852,Dose 1,36,0.0215760074796826,36,0.0215760074796826
20201208,Male,60 - 64,166852,Dose 2,0,0.0,0,0.0
20201208,Male,65 - 69,144460,Dose 1,9,0.00623009829710647,9,0.00623009829710647
20201208,Male,65 - 69,144460,Dose 2,0,0.0,0,0.0
20201208,Male,70 - 74,132339,Dose 1,3,0.00226690544737379,3,0.00226690544737379
20201208,Male,70 - 74,132339,Dose 2,0,0.0,0,0.0
20201208,Male,75 - 79,87886,Dose 1,0,0.0,0,0.0
20201208,Male,75 - 79,87886,Dose 2,0,0.0,0,0.0
20201208,Male,80 years and over,104741,Dose 1,1,0.0009547359677681141,1,0.0009547359677681141
20201208,Male,80 years and over,104741,Dose 2,0,0.0,0,0.0
20201208,Total,16 years and over,4541903,Dose 1,1870,,1870,
20201208,Total,16 years and over,4541903,Dose 2,0,,0,
20201208,Total,18 - 29,848212,Dose 1,210,0.024757961453032995,210,0.024757961453032995
20201208,Total,18 - 29,848212,Dose 2,0,0.0,0,0.0
20201208,Total,18 years and over,4434138,Dose 1,1869,0.0421502443090404,1869,0.0421502443090404
20201208,Total,18 years and over,4434138,Dose 2,0,0.0,0,0.0
20201208,Total,30 - 39,721985,Dose 1,375,0.0519401372604694,375,0.0519401372604694
20201208,Total,30 - 39,721985,Dose 2,0,0.0,0,0.0
20201208,Total,40 - 49,680890,Dose 1,498,0.0731395673309933,498,0.0731395673309933
20201208,Total,40 - 49,680890,Dose 2,0,0.0,0,0.0
20201208,Total,50 - 54,401090,Dose 1,300,0.0747961804083871,300,0.0747961804083871
20201208,Total,50 - 54,401090,Dose 2,0,0.0,0,0.0
20201208,Total,50 years and over,2183051,Dose 1,786,0.0360046558692399,786,0.0360046558692399
20201208,Total,50 years and over,2183051,Dose 2,0,0.0,0,0.0
20201208,Total,55 - 59,393123,Dose 1,292,0.0742770074505943,292,0.0742770074505943
20201208,Total,55 - 59,393123,Dose 2,0,0.0,0,0.0
