date,Adult care homes - Number of staff reported as absent
2020-04-21,3732
2020-04-28,4163
2020-05-05,3672
2020-05-12,3121
2020-05-19,3381
2020-05-26,3049
2020-06-02,2668
2020-06-09,2315
2020-06-16,2453
2020-06-23,1801
2020-06-30,1976
2020-07-07,1764
2020-07-14,1708
2020-07-21,1666
2020-07-28,1523
2020-08-04,815
2020-08-11,613
2020-08-18,506
2020-08-25,554
2020-09-01,496
2020-09-08,548
2020-09-15,496
2020-09-22,504
2020-09-29,511
2020-10-06,610
2020-10-13,795
2020-10-20,952
2020-10-27,1062
2020-11-03,957
2020-11-10,1004
2020-11-17,1004
2020-11-24,805
2020-12-01,813
2020-12-08,774
2020-12-15,780
2020-12-22,576
2021-01-05,1311
