week commencing,Care Home,Home / Non-institution,Hospital,Other institution
2020-03-16,1,2,8,0
2020-03-23,5,14,43,0
2020-03-30,49,39,193,1
2020-04-06,189,64,357,0
2020-04-13,303,37,311,0
2020-04-20,341,44,277,0
2020-04-27,316,17,193,0
2020-05-04,238,22,153,1
2020-05-11,187,19,128,2
2020-05-18,124,9,95,2
2020-05-25,69,7,55,0
2020-06-01,42,8,39,1
2020-06-08,34,7,27,0
2020-06-15,20,1,28,0
2020-06-22,17,3,16,0
2020-06-29,6,1,12,0
2020-07-06,7,1,5,0
2020-07-13,3,0,3,0
2020-07-20,2,2,4,0
2020-07-27,2,1,3,0
2020-08-03,2,1,2,0
2020-08-10,1,0,2,0
2020-08-17,3,0,2,0
2020-08-24,3,1,3,0
2020-08-31,0,0,2,0
2020-09-07,2,0,3,0
2020-09-14,3,0,8,0
2020-09-21,4,1,5,0
2020-09-28,6,0,13,1
2020-10-05,7,1,17,0
2020-10-12,13,5,58,0
2020-10-19,18,6,82,0
2020-10-26,31,9,128,0
2020-11-02,53,10,144,1
2020-11-09,72,8,199,0
2020-11-16,67,19,162,0
2020-11-23,75,11,165,1
2020-11-30,78,10,145,0
2020-12-07,63,8,156,0
2020-12-14,74,8,126,0
2020-12-21,61,9,129,1
2020-12-28,63,9,115,0
2021,569,176,1886,21
2021-01-04,116,19,256,1
2021-01-11,99,26,244,4
2021-01-18,111,35,298,8
2021-01-25,98,39,302,4
2021-02-01,69,23,282,3
2021-02-08,42,14,269,0
2021-02-15,34,20,235,1
