week commencing,female___0 years
2019-12-30,1
2020-01-06,0
2020-01-13,1
2020-01-20,1
2020-01-27,2
2020-02-03,1
2020-02-10,0
2020-02-17,1
2020-02-24,0
2020-03-02,3
2020-03-09,3
2020-03-16,3
2020-03-23,4
2020-03-30,2
2020-04-06,1
2020-04-13,3
2020-04-20,1
2020-04-27,1
2020-05-04,1
2020-05-11,2
2020-05-18,2
2020-05-25,0
2020-06-01,3
2020-06-08,1
2020-06-15,1
2020-06-22,1
2020-06-29,1
2020-07-06,0
2020-07-13,2
2020-07-20,0
2020-07-27,1
2020-08-03,0
2020-08-10,2
2020-08-17,0
2020-08-24,3
2020-08-31,0
2020-09-07,1
2020-09-14,5
2020-09-21,2
2020-09-28,0
2020-10-05,0
2020-10-12,0
2020-10-19,0
2020-10-26,0
2020-11-02,3
2020-11-09,2
2020-11-16,1
2020-11-23,4
2020-11-30,0
2020-12-07,0
2020-12-14,2
2020-12-21,0
2020-12-28,0
2021,11
2021-01-04,2
2021-01-11,0
2021-01-18,2
2021-01-25,1
2021-02-01,2
2021-02-08,4
2021-02-15,0
